title,video_id,description,published_at,duration,views,likes,comments
Enhance data access governance with enforced metadata rules in Amazon DataZon | Amazon Web Services,4zEjwiea45U,"Amazon DataZone now supports enforced metadata rules for data access workflows, providing organizations with enhanced ...",2024-11-20T19:46:32Z,9:29,138,7,0
Build a RAG based Generative AI Chatbot in 20 mins using Amazon Bedrock Knowledge Base,hnyDDfo8e9Q,Unlock the power of Retrieval-Augmented Generation (RAG) and create your own Generative AI chatbot in just 20 minutes!,2024-11-20T19:04:54Z,10:54,112,9,0
Inside Generative AI @ Amazon - Amazon Ads | Amazon Web Services,HqIDTb8LZMk,Amazon Ads is leveraging generative AI to remove creative barriers and help brands of all sizes be more efficient and innovative ...,2024-11-20T16:48:33Z,9:36,231,8,0
Gen AI and the Evolving Workplace: Strategies for adapting and thriving | Amazon Web Services,uVB7AvAWYWc,The rapid advancement of generative AI is fundamentally reshaping the modern workplace. As organizations grapple with the ...,2024-11-19T23:51:53Z,16,567,21,1
From Lagging to Leading: Navigating AI adoption challenges | Amazon Web Services,3PLk5-t76z8,"In this episode, AWS Enterprise Strategists provide a roadmap for organizations who may feel they've missed the first-mover ...",2024-11-19T22:51:48Z,16,536,9,0
Unleashing Enterprise AI for Seamless Productivity: LightON | Amazon Web Services,EsH7auq_ecY,Discover how LightON is revolutionizing the enterprise landscape by making generative AI seamlessly accessible to everyone.,2024-11-19T21:12:48Z,1:31,353,7,1
How do I use the Reserved Instance coverage report in AWS Cost Explorer?,5tuMGUafj4c,"For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-11-19T20:02:25Z,2:22,194,2,0
How do I add or update billing contact information?,c-zqzo4ivvA,"For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-11-19T20:02:20Z,2:41,175,9,0
Amazon Q + IAM Integration for SMBs | Amazon Web Services,0lVpUTo0TT0,Learn how to manage user access for Amazon Q Business applications using AWS IAM Identity Center. The tutorial focuses on ...,2024-11-19T16:27:54Z,13:4,164,3,0
Getting Started with Amazon Q Business for SMBs | Amazon Web Services,kgsBiafcNTE,"Learn how to quickly set up an Amazon Q Business application. This video guides you through creating the application in AWS, ...",2024-11-19T16:27:51Z,10:,115,3,0
Unraveling Amazon Q Pricing for SMBs | Amazon Web Services,SFW6rN_zemw,A quick deep dive into Amazon Q pricing and subscription options. Learn how to set up and manage subscriptions in the AWS ...,2024-11-19T16:27:47Z,12:15,95,2,0
Amazon Timestream &amp; Amazon Neptune - Transactional Fraud Detection | Amazon Web Services,l2L9i12_Z14,This Guidance shows how to build a serverless workflow to identify patterns of fraudulent activity within streaming data through ...,2024-11-18T23:46:20Z,16:35,390,7,0
Creating and working with Amazon Timestream for InfluxDB Instances | Amazon Web Services,8_hjlFC5zkU,"In this video you will learn how to create an Amazon Timestream for InfluxDB instance, upload time series data and use the UI for ...",2024-11-18T23:00:56Z,6:22,303,12,0
