Partner Name,Partner ID,Description,Website,Certifications Count,Country,City
N/A,0010L00001kWVp3QAG,"SoftwareOne is a leading global provider of end-to-end software and cloud technology solutions. We help our clients to build, migrate, manage, and modernize their applications and workloads. We also assist them procure and optimize the software and clouds they run on. With an intellectual property and technology-driven services portfolio, we accelerate the realization and benefits of AWS.",https://www.softwareone.com,1297,Indonesia,N/A
N/A,0010L00001kY2PwQAK,"We are a flexible and dynamic group of experts in the fields of IT and Cloud Computing. The strength of our team lies in our expertise honed by over 15 years of experience. Sharing our passion for the tech world along with our expertise and dependable performance, we hope to reach new frontiers while taking you forward with us, because we believe that “Every Bit Counts!”",http://www.zeroandone.me,171,Saudi Arabia,N/A
N/A,0010L00001oBLnqQAG,"eCloudrover is dedicated on helping enterprises on their digital transformation journey by leveraging cloud technologies. eCloudrover holds 300+ AWS certifications and 100% dedicated to cloud. We provide our customers with Cloud training, professional services and consulting support on Cloud Migration, DevOps, Data Solutions, IoT, SAP Solutions, and Next-gen Managed Services.",http://www.ecloudrover.com,70,China,N/A
N/A,0010h00001aQY6kAAG,"Our certified cloud engineers use best-in-class technology to plan, build, and operate AWS infrastructures including machine learning and AI. We specialize in highly regulated industries including financial services, healthcare, education, genetics, bio-tech,and retail.",https://www.cloud303.io,54,United States,N/A
N/A,0010h00001cCURkAAO,"eCloudvalley is an AWS Premier Consulting Partner with a mission to evolve customer's business in Cloud. We have been the trusted cloud advisor of 1000+ customers by our team of cloud experts with 500+ certificates. Services include cloud migration, cloud training, data solution, next-gen MSP, and automated cloud management platform.",https://www.ecloudvalley.com/sg/,333,Singapore,N/A
N/A,001E000000NaBHNIA3,"Eviden, an Atos business, is an AWS Premier partner in data-driven, trusted and sustainable digital transformation. Eviden brings together its experience, assets and innovation to expertly guide you through change and turn your vision into reality.",https://page.eviden.com/aws,2699,United Kingdom,N/A
N/A,001E000000NaBI4IAN,"Reply is a leading, modern consulting firm providing end-to-end solutions on AWS. AirWalk Reply, Comsysto Reply, Data Reply, Discovery Reply, Retail Reply, Sense Reply and Storm Reply are the companies of Reply Group specialized on AWS as a whole process from Cloud Advisory to Migration and Managed Services with a strong focus on Cloud Native Development, IoT, Big Data and ML.",https://www.reply.com/en/aws,1265,Italy,N/A
N/A,001E000000Rl0wJIAR,"Classmethod is a leading cloud integrator with expertise in big data, mobile and artificial intelligence. As an AWS Premier Tier Service Partner with over 3,000 cases and 2,000 AWS certifications, Classmethod delivers end-to-end solutions for companies looking for 24/7 maintenance, data center migration, security measures, development of big data analytics platforms, mobile apps, and AI chatbot.",https://classmethod.jp/,2949,Japan,N/A
N/A,001E000000Rl0y7IAB,"tecRacer [AWS Premier Consulting & Advanced Training Partner] offers consulting, training, project management, development, AWS managed services from a single source — across the entire cloud transition lifecycle. Our seamlessly integrated services are supplemented by AWS competencies [Data & Analytics, Financial Services, Migration, DevOps] and service deliveries [Amazon Connect].",https://www.tecracer.com,261,Germany,N/A
N/A,001E000000Rp58HIAR,"As an AWS Premier Consulting and Audited MSP Partner, AllCloud accelerates innovation and helps organizations fully unlock the value received from cloud technology. Supported by a robust ecosystem of technology partners, proven methodologies, and well-documented best practices, AllCloud elevates its customers by achieving operational excellence on the cloud, at every milestone of their journey.",http://www.allcloud.io,358,Germany,N/A
N/A,001E000000Rp5GDIAZ,"As Korea’s first AWS Premier Consulting Partner, Megazone Cloud was awarded ‘Partner of the Year’ for APAC, and Korea for 2 consecutive years. Megazone holds various AWS competencies including Marketing & Commerce, Migration and Financial Services and is the first to achieve the ISMS certification. Based on these capabilities, Megazone offers most advanced cloud services to its clients.",http://www.megazone.com,941,Viet Nam,N/A
N/A,001E000000Rp5QhIAJ,"HCLTech is an AWS Premier Consulting Partner uniquely positioned to help enterprises as a GSI and an ISV. HCLTech is supercharging progress for hundreds of leading global enterprises, vested in solving day-to-day or complex challenges with a dedicated full-stack business unit. HCLTech also holds Migration, DevOps, SAP, Storage and Mainframe Modernization Competencies and is an MSP Partner.",https://www.hcltech.com/,7991,India,N/A
N/A,001E000000Rp5XiIAJ,RapidScale is the managed cloud partner that turns technology into your biggest competitive advantage. Our comprehensive portfolio of private and public cloud solutions is tailored to your needs and backed by one of the deepest benches of certified experts in the industry.,http://www.rapidscale.net,162,United States,N/A
N/A,001E000000VHBQIIA5,"Accenture is a leading, global professional services company that provides an end-to-end solution to migrate to and manage operations on AWS. Accenture’s staff of 700,000+ includes more than 40,000 trained who hold more than 30,000 AWS Certifications.",https://www.accenture.com/us-en/services/cloud/aws-business-group,30912,Canada,N/A
N/A,001E000000YKGRmIAP,"Noventiq, an AWS premier partner, excels in Migration, Modernization, Security, Managed Services, and Data Analytics. With certified engineers and over a decade of AWS expertise, our global team delivers innovative solutions and exceptional support. Noventiq's AWS Center of Excellence, rooted in Umbrella Infocare's expertise, ensures cutting-edge solutions for seamless client success.",https://aws.noventiq.com/,257,India,N/A
